 S0066 , 3PARA RAT ,T1071,,T1071
 S0677 , AADInternals ,T1484.002,[AADInternals](https://attack.mitre.org/software/S0677) can create a backdoor by converting a domain to a federated domain which will be able to authenticate any user across the tenant. [AADInternals](https://attack.mitre.org/software/S0677) can also modify DesktopSSO information.(Citation: AADInternals Documentation)(Citation: Azure AD Federation Vulnerability),AADInternals
 S0677 , AADInternals ,T1048,[AADInternals](https://attack.mitre.org/software/S0677) can directly download cloud user data such as OneDrive files.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1606,,AADInternals
 S0677 , AADInternals ,T1606.002,[AADInternals](https://attack.mitre.org/software/S0677) can be used to create SAML tokens using the AD Federated Services token signing certificate.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1589,,AADInternals
 S0677 , AADInternals ,T1589.002,[AADInternals](https://attack.mitre.org/software/S0677) can check for the existence of user email addresses using public Microsoft APIs.(Citation: AADInternals Documentation)(Citation: Azure AD Recon),AADInternals
 S0677 , AADInternals ,T1590,,AADInternals
 S0677 , AADInternals ,T1590.001,[AADInternals](https://attack.mitre.org/software/S0677) can gather information about a tenant’s domains using public Microsoft APIs.(Citation: AADInternals Documentation)(Citation: Azure AD Recon),AADInternals
 S0677 , AADInternals ,T1556,,AADInternals
 S0677 , AADInternals ,T1556.006,The [AADInternals](https://attack.mitre.org/software/S0677) `Set-AADIntUserMFA` command can be used to disable MFA for a specified user.,AADInternals
 S0677 , AADInternals ,T1556.007,[AADInternals](https://attack.mitre.org/software/S0677) can inject a malicious DLL (`PTASpy`) into the `AzureADConnectAuthenticationAgentService` to backdoor Azure AD Pass-Through Authentication.(Citation: AADInternals Azure AD On-Prem to Cloud),AADInternals
 S0677 , AADInternals ,T1112,[AADInternals](https://attack.mitre.org/software/S0677) can modify registry keys as part of setting a new pass-through authentication agent.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1003,,AADInternals
 S0677 , AADInternals ,T1003.004,[AADInternals](https://attack.mitre.org/software/S0677) can dump secrets from the Local Security Authority.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1069,,AADInternals
 S0677 , AADInternals ,T1069.003,[AADInternals](https://attack.mitre.org/software/S0677) can enumerate Azure AD groups.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1566,,AADInternals
 S0677 , AADInternals ,T1566.002,"[AADInternals](https://attack.mitre.org/software/S0677) can send ""consent phishing"" emails containing malicious links designed to steal users’ access tokens.(Citation: AADInternals Documentation)",AADInternals
 S0677 , AADInternals ,T1598,,AADInternals
 S0677 , AADInternals ,T1598.003,[AADInternals](https://attack.mitre.org/software/S0677) can send phishing emails containing malicious links designed to collect users’ credentials.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1528,[AADInternals](https://attack.mitre.org/software/S0677) can steal users’ access tokens via phishing emails containing malicious links.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1649,"[AADInternals](https://attack.mitre.org/software/S0677) can create and export various authentication certificates, including those associated with Azure AD joined/registered devices.(Citation: AADInternals Documentation)",AADInternals
 S0677 , AADInternals ,T1558,,AADInternals
 S0677 , AADInternals ,T1558.002,[AADInternals](https://attack.mitre.org/software/S0677) can be used to forge Kerberos tickets using the password hash of the AZUREADSSOACC account.(Citation: AADInternals Documentation),AADInternals
 S0677 , AADInternals ,T1552,,AADInternals
 S0677 , AADInternals ,T1552.001,"[AADInternals](https://attack.mitre.org/software/S0677) can gather unsecured credentials for Azure AD services, such as Azure AD Connect, from a local machine.(Citation: AADInternals Documentation)",AADInternals
 S0677 , AADInternals ,T1552.004,[AADInternals](https://attack.mitre.org/software/S0677) can gather encryption keys from Azure AD services such as ADSync and Active Directory Federated Services servers.(Citation: AADInternals Documentation),AADInternals
 S0469 , ABK ,T1071,,ABK
 S0469 , ABK ,T1071.001,[ABK](https://attack.mitre.org/software/S0469) has the ability to use HTTP in communications with C2.(Citation: Trend Micro Tick November 2019),ABK
 S0469 , ABK ,T1059,,ABK
 S0469 , ABK ,T1059.003,[ABK](https://attack.mitre.org/software/S0469) has the ability to use [cmd](https://attack.mitre.org/software/S0106) to run a Portable Executable (PE) on the compromised host.(Citation: Trend Micro Tick November 2019),ABK
 S0469 , ABK ,T1140,[ABK](https://attack.mitre.org/software/S0469) has the ability to decrypt AES encrypted payloads.(Citation: Trend Micro Tick November 2019),ABK
 S0469 , ABK ,T1105,[ABK](https://attack.mitre.org/software/S0469) has the ability to download files from C2.(Citation: Trend Micro Tick November 2019),ABK
 S0469 , ABK ,T1027,,ABK
 S0469 , ABK ,T1027.003,[ABK](https://attack.mitre.org/software/S0469) can extract a malicious Portable Executable (PE) from a photo.(Citation: Trend Micro Tick November 2019),ABK
 S0469 , ABK ,T1055,[ABK](https://attack.mitre.org/software/S0469) has the ability to inject shellcode into svchost.exe.(Citation: Trend Micro Tick November 2019),ABK
 S0469 , ABK ,T1518,,ABK
 S0469 , ABK ,T1518.001,[ABK](https://attack.mitre.org/software/S0469) has the ability to identify the installed anti-virus product on the compromised host.(Citation: Trend Micro Tick November 2019),ABK
 S1125 , AcidRain ,T1485,[AcidRain](https://attack.mitre.org/software/S1125) performs an in-depth wipe of the target filesystem and various attached storage devices through either a data overwrite or calling various IOCTLS to erase it.(Citation: AcidRain JAGS 2022),AcidRain
 S1125 , AcidRain ,T1561,,AcidRain
 S1125 , AcidRain ,T1561.001,"[AcidRain](https://attack.mitre.org/software/S1125) iterates over device file identifiers on the target, opens the device file, and either overwrites the file or calls various IOCTLS commands to erase it.(Citation: AcidRain JAGS 2022)",AcidRain
 S1125 , AcidRain ,T1083,[AcidRain](https://attack.mitre.org/software/S1125) identifies specific files and directories in the Linux operating system associated with storage devices.(Citation: AcidRain JAGS 2022),AcidRain
 S1125 , AcidRain ,T1529,[AcidRain](https://attack.mitre.org/software/S1125) reboots the target system once the various wiping processes are complete.(Citation: AcidRain JAGS 2022),AcidRain
 S1028 , Action RAT ,T1071,,SideCopy
 S1028 , Action RAT ,T1071.001,[Action RAT](https://attack.mitre.org/software/S1028) can use HTTP to communicate with C2 servers.(Citation: MalwareBytes SideCopy Dec 2021),SideCopy
 S1028 , Action RAT ,T1059,,SideCopy
 S1028 , Action RAT ,T1059.003,[Action RAT](https://attack.mitre.org/software/S1028) can use `cmd.exe` to execute commands on an infected host.(Citation: MalwareBytes SideCopy Dec 2021),SideCopy
 S1028 , Action RAT ,T1005,[Action RAT](https://attack.mitre.org/software/S1028) can collect local data from an infected machine.(Citation: MalwareBytes SideCopy Dec 2021),SideCopy
 S1028 , Action RAT ,T1140,[Action RAT](https://attack.mitre.org/software/S1028) can use Base64 to decode actor-controlled C2 server communications.(Citation: MalwareBytes SideCopy Dec 2021),SideCopy
 S1028 , Action RAT ,T1083,[Action RAT](https://attack.mitre.org/software/S1028) has the ability to collect drive and file information on an infected machine.(Citation: MalwareBytes SideCopy Dec 2021),SideCopy
 S1028 , Action RAT ,T1105,[Action RAT](https://attack.mitre.org/software/S1028) has the ability to download additional payloads onto an infected machine.(Citation: MalwareBytes SideCopy Dec 2021),SideCopy
 S1028 , Action RAT ,T1027," [Action RAT](https://attack.mitre.org/software/S1028)'s commands, strings, and domains can be Base64 encoded within the payload.(Citation: MalwareBytes SideCopy Dec 2021)",SideCopy
 S1028 , Action RAT ,T1518,,SideCopy
 S1028 , Action RAT ,T1518.001,[Action RAT](https://attack.mitre.org/software/S1028) can identify AV products on an infected host using the following command: `cmd.exe WMIC /Node:localhost /Namespace:\\root\SecurityCenter2 Path AntiVirusProduct Get displayName /Format:List`.(Citation: MalwareBytes SideCopy Dec 2021),SideCopy
 S1028 , Action RAT ,T1082,"[Action RAT](https://attack.mitre.org/software/S1028) has the ability to collect the hostname, OS version, and OS architecture of an infected host.(Citation: MalwareBytes SideCopy Dec 2021)",SideCopy
 S1028 , Action RAT ,T1016,[Action RAT](https://attack.mitre.org/software/S1028) has the ability to collect the MAC address of an infected host.(Citation: MalwareBytes SideCopy Dec 2021),SideCopy
 S1028 , Action RAT ,T1033, [Action RAT](https://attack.mitre.org/software/S1028) has the ability to collect the username from an infected host.(Citation: MalwareBytes SideCopy Dec 2021),SideCopy
 S1028 , Action RAT ,T1047,[Action RAT](https://attack.mitre.org/software/S1028) can use WMI to gather AV products installed on an infected host.(Citation: MalwareBytes SideCopy Dec 2021),SideCopy
 S0202 , adbupd ,T1059,,adbupd
 S0202 , adbupd ,T1059.003,[adbupd](https://attack.mitre.org/software/S0202) can run a copy of cmd.exe.(Citation: Microsoft PLATINUM April 2016),adbupd
 S0202 , adbupd ,T1573,,adbupd
 S0202 , adbupd ,T1573.002,[adbupd](https://attack.mitre.org/software/S0202) contains a copy of the OpenSSL library to encrypt C2 traffic.(Citation: Microsoft PLATINUM April 2016),adbupd
 S0202 , adbupd ,T1546,,adbupd
 S0202 , adbupd ,T1546.003,[adbupd](https://attack.mitre.org/software/S0202) can use a WMI script to achieve persistence.(Citation: Microsoft PLATINUM April 2016),adbupd
 S0552 , AdFind ,T1087,,AdFind
 S0552 , AdFind ,T1087.002,[AdFind](https://attack.mitre.org/software/S0552) can enumerate domain users.(Citation: Red Canary Hospital Thwarted Ryuk October 2020)(Citation: FireEye FIN6 Apr 2019)(Citation: FireEye Ryuk and Trickbot January 2019)(Citation: Cybereason Bumblebee August 2022)(Citation: Symantec Bumblebee June 2022),AdFind
 S0552 , AdFind ,T1482,[AdFind](https://attack.mitre.org/software/S0552) can gather information about organizational units (OUs) and domain trusts from Active Directory.(Citation: Red Canary Hospital Thwarted Ryuk October 2020)(Citation: FireEye FIN6 Apr 2019)(Citation: FireEye Ryuk and Trickbot January 2019)(Citation: Symantec Bumblebee June 2022),AdFind
 S0552 , AdFind ,T1069,,AdFind
 S0552 , AdFind ,T1069.002,[AdFind](https://attack.mitre.org/software/S0552) can enumerate domain groups.(Citation: Red Canary Hospital Thwarted Ryuk October 2020)(Citation: FireEye FIN6 Apr 2019)(Citation: FireEye Ryuk and Trickbot January 2019)(Citation: Symantec Bumblebee June 2022),AdFind
 S0552 , AdFind ,T1018,[AdFind](https://attack.mitre.org/software/S0552) has the ability to query Active Directory for computers.(Citation: Red Canary Hospital Thwarted Ryuk October 2020)(Citation: FireEye FIN6 Apr 2019)(Citation: FireEye Ryuk and Trickbot January 2019)(Citation: Cybereason Bumblebee August 2022),AdFind
 S0552 , AdFind ,T1016,[AdFind](https://attack.mitre.org/software/S0552) can extract subnet information from Active Directory.(Citation: Red Canary Hospital Thwarted Ryuk October 2020)(Citation: FireEye FIN6 Apr 2019)(Citation: FireEye Ryuk and Trickbot January 2019),AdFind
 S0045 , ADVSTORESHELL ,T1071,,ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1071.001,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) connects to port 80 of a C2 server using Wininet API. Data is exchanged via HTTP POSTs.(Citation: Kaspersky Sofacy),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1560,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) encrypts with the 3DES algorithm and a hardcoded key prior to exfiltration.(Citation: ESET Sednit Part 2),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1560.003,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) compresses output data generated by command execution with a custom implementation of the Lempel–Ziv–Welch (LZW) algorithm.(Citation: ESET Sednit Part 2),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1547,,ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1547.001,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) achieves persistence by adding itself to the HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run Registry key.(Citation: Kaspersky Sofacy)(Citation: ESET Sednit Part 2)(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1059,,ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1059.003,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) can create a remote shell and run a given command.(Citation: ESET Sednit Part 2)(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1132,,ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1132.001,"C2 traffic from [ADVSTORESHELL](https://attack.mitre.org/software/S0045) is encrypted, then encoded with Base64 encoding.(Citation: Kaspersky Sofacy)",ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1074,,ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1074.001,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) stores output from command execution in a .dat file in the %TEMP% directory.(Citation: ESET Sednit Part 2),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1573,,ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1573.001,A variant of [ADVSTORESHELL](https://attack.mitre.org/software/S0045) encrypts some C2 with 3DES.(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1573.002,A variant of [ADVSTORESHELL](https://attack.mitre.org/software/S0045) encrypts some C2 with RSA.(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1546,,ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1546.015,Some variants of [ADVSTORESHELL](https://attack.mitre.org/software/S0045) achieve persistence by registering the payload as a Shell Icon Overlay handler COM object.(Citation: ESET Sednit Part 2),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1041,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) exfiltrates data over the same channel used for C2.(Citation: ESET Sednit Part 2),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1083,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) can list files and directories.(Citation: ESET Sednit Part 2)(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1070,,ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1070.004,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) can delete files and directories.(Citation: ESET Sednit Part 2),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1056,,ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1056.001,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) can perform keylogging.(Citation: ESET Sednit Part 2)(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1112,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) is capable of setting and deleting Registry values.(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1106,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) is capable of starting a process using CreateProcess.(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1027,"Most of the strings in [ADVSTORESHELL](https://attack.mitre.org/software/S0045) are encrypted with an XOR-based algorithm; some strings are also encrypted with 3DES and reversed. API function names are also reversed, presumably to avoid detection in memory.(Citation: Kaspersky Sofacy)(Citation: Bitdefender APT28 Dec 2015)",ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1120,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) can list connected devices.(Citation: ESET Sednit Part 2),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1057,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) can list running processes.(Citation: ESET Sednit Part 2),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1012,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) can enumerate registry keys.(Citation: ESET Sednit Part 2)(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1029,"[ADVSTORESHELL](https://attack.mitre.org/software/S0045) collects, compresses, encrypts, and exfiltrates data to the C2 server every 10 minutes.(Citation: ESET Sednit Part 2)",ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1218,,ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1218.011,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) has used rundll32.exe in a Registry value to establish persistence.(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0045 , ADVSTORESHELL ,T1082,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) can run [Systeminfo](https://attack.mitre.org/software/S0096) to gather information about the victim.(Citation: ESET Sednit Part 2)(Citation: Bitdefender APT28 Dec 2015),ADVSTORESHELL
 S0331 , Agent Tesla ,T1087,,T1087
 S0331 , Agent Tesla ,T1087.001,[Agent Tesla](https://attack.mitre.org/software/S0331) can collect account information from the victim’s machine.(Citation: DigiTrust Agent Tesla Jan 2017),T1087
 S0331 , Agent Tesla ,T1071,,T1087
 S0331 , Agent Tesla ,T1071.001,[Agent Tesla](https://attack.mitre.org/software/S0331) has used HTTP for C2 communications.(Citation: DigiTrust Agent Tesla Jan 2017)(Citation: Fortinet Agent Tesla June 2017),T1087
 S0331 , Agent Tesla ,T1071.003,[Agent Tesla](https://attack.mitre.org/software/S0331) has used SMTP for C2 communications.(Citation: Cofense Agent Tesla)(Citation: Fortinet Agent Tesla June 2017)(Citation: Bitdefender Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1560,[Agent Tesla](https://attack.mitre.org/software/S0331) can encrypt data with 3DES before sending it over to a C2 server.(Citation: Talos Agent Tesla Oct 2018),T1087
 S0331 , Agent Tesla ,T1547,,T1087
 S0331 , Agent Tesla ,T1547.001,[Agent Tesla](https://attack.mitre.org/software/S0331) can add itself to the Registry as a startup program to establish persistence.(Citation: Fortinet Agent Tesla April 2018)(Citation: SentinelLabs Agent Tesla Aug 2020) ,T1087
 S0331 , Agent Tesla ,T1185,[Agent Tesla](https://attack.mitre.org/software/S0331) has the ability to use form-grabbing to extract data from web data forms.(Citation: Bitdefender Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1115,[Agent Tesla](https://attack.mitre.org/software/S0331) can steal data from the victim’s clipboard.(Citation: Talos Agent Tesla Oct 2018)(Citation: Fortinet Agent Tesla April 2018)(Citation: Fortinet Agent Tesla June 2017)(Citation: Bitdefender Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1555,[Agent Tesla](https://attack.mitre.org/software/S0331) has the ability to steal credentials from FTP clients and wireless profiles.(Citation: Malwarebytes Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1555.003,[Agent Tesla](https://attack.mitre.org/software/S0331) can gather credentials from a number of browsers.(Citation: Bitdefender Agent Tesla April 2020) ,T1087
 S0331 , Agent Tesla ,T1140,[Agent Tesla](https://attack.mitre.org/software/S0331) has the ability to decrypt strings encrypted with the Rijndael symmetric encryption algorithm.(Citation: Malwarebytes Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1048,,T1087
 S0331 , Agent Tesla ,T1048.003,"[Agent Tesla](https://attack.mitre.org/software/S0331) has routines for exfiltration over SMTP, FTP, and HTTP.(Citation: Talos Agent Tesla Oct 2018)(Citation: Bitdefender Agent Tesla April 2020)(Citation: SentinelLabs Agent Tesla Aug 2020)",T1087
 S0331 , Agent Tesla ,T1203,[Agent Tesla](https://attack.mitre.org/software/S0331) has exploited Office vulnerabilities such as CVE-2017-11882 and CVE-2017-8570 for execution during delivery.(Citation: SentinelLabs Agent Tesla Aug 2020) ,T1087
 S0331 , Agent Tesla ,T1564,,T1087
 S0331 , Agent Tesla ,T1564.001,[Agent Tesla](https://attack.mitre.org/software/S0331) has created hidden folders.(Citation: SentinelLabs Agent Tesla Aug 2020),T1087
 S0331 , Agent Tesla ,T1564.003,[Agent Tesla](https://attack.mitre.org/software/S0331) has used ProcessWindowStyle.Hidden to hide windows.(Citation: Malwarebytes Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1562,,T1087
 S0331 , Agent Tesla ,T1562.001,[Agent Tesla](https://attack.mitre.org/software/S0331) has the capability to kill any running analysis processes and AV software.(Citation: Fortinet Agent Tesla June 2017),T1087
 S0331 , Agent Tesla ,T1105,[Agent Tesla](https://attack.mitre.org/software/S0331) can download additional files for execution on the victim’s machine.(Citation: Talos Agent Tesla Oct 2018)(Citation: DigiTrust Agent Tesla Jan 2017),T1087
 S0331 , Agent Tesla ,T1056,,T1087
 S0331 , Agent Tesla ,T1056.001,[Agent Tesla](https://attack.mitre.org/software/S0331) can log keystrokes on the victim’s machine.(Citation: Talos Agent Tesla Oct 2018)(Citation: DigiTrust Agent Tesla Jan 2017)(Citation: Fortinet Agent Tesla June 2017)(Citation: Bitdefender Agent Tesla April 2020)(Citation: SentinelLabs Agent Tesla Aug 2020),T1087
 S0331 , Agent Tesla ,T1112,[Agent Tesla](https://attack.mitre.org/software/S0331) can achieve persistence by modifying Registry key entries.(Citation: SentinelLabs Agent Tesla Aug 2020) ,T1087
 S0331 , Agent Tesla ,T1027,[Agent Tesla](https://attack.mitre.org/software/S0331) has had its code obfuscated in an apparent attempt to make analysis difficult.(Citation: Fortinet Agent Tesla April 2018) [Agent Tesla](https://attack.mitre.org/software/S0331) has used the Rijndael symmetric encryption algorithm to encrypt strings.(Citation: Malwarebytes Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1566,,T1087
 S0331 , Agent Tesla ,T1566.001,The primary delivered mechanism for [Agent Tesla](https://attack.mitre.org/software/S0331) is through email phishing messages.(Citation: Bitdefender Agent Tesla April 2020) ,T1087
 S0331 , Agent Tesla ,T1057,[Agent Tesla](https://attack.mitre.org/software/S0331) can list the current running processes on the system.(Citation: Fortinet Agent Tesla June 2017),T1087
 S0331 , Agent Tesla ,T1055,"[Agent Tesla](https://attack.mitre.org/software/S0331) can inject into known, vulnerable binaries on targeted hosts.(Citation: SentinelLabs Agent Tesla Aug 2020) ",T1087
 S0331 , Agent Tesla ,T1055.012,[Agent Tesla](https://attack.mitre.org/software/S0331) has used process hollowing to create and manipulate processes through sections of unmapped memory by reallocating that space with its malicious code.(Citation: SentinelLabs Agent Tesla Aug 2020) ,T1087
 S0331 , Agent Tesla ,T1053,,T1087
 S0331 , Agent Tesla ,T1053.005,[Agent Tesla](https://attack.mitre.org/software/S0331)  has achieved persistence via scheduled tasks.(Citation: SentinelLabs Agent Tesla Aug 2020) ,T1087
 S0331 , Agent Tesla ,T1113,[Agent Tesla](https://attack.mitre.org/software/S0331) can capture screenshots of the victim’s desktop.(Citation: Talos Agent Tesla Oct 2018)(Citation: DigiTrust Agent Tesla Jan 2017)(Citation: Fortinet Agent Tesla April 2018)(Citation: Fortinet Agent Tesla June 2017)(Citation: Bitdefender Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1218,,T1087
 S0331 , Agent Tesla ,T1218.009,[Agent Tesla](https://attack.mitre.org/software/S0331) has dropped RegAsm.exe onto systems for performing malicious activity.(Citation: SentinelLabs Agent Tesla Aug 2020) ,T1087
 S0331 , Agent Tesla ,T1082,"[Agent Tesla](https://attack.mitre.org/software/S0331) can collect the system's computer name and also has the capability to collect information on the processor, memory, OS, and video card from the system.(Citation: Fortinet Agent Tesla April 2018)(Citation: Fortinet Agent Tesla June 2017)(Citation: Malwarebytes Agent Tesla April 2020)",T1087
 S0331 , Agent Tesla ,T1016,[Agent Tesla](https://attack.mitre.org/software/S0331) can collect the IP address of the victim machine and spawn instances of netsh.exe to enumerate wireless settings.(Citation: DigiTrust Agent Tesla Jan 2017)(Citation: SentinelLabs Agent Tesla Aug 2020) ,T1087
 S0331 , Agent Tesla ,T1016.002,[Agent Tesla](https://attack.mitre.org/software/S0331) can collect names and passwords of all Wi-Fi networks to which a device has previously connected.(Citation: Malwarebytes Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1033,[Agent Tesla](https://attack.mitre.org/software/S0331) can collect the username from the victim’s machine.(Citation: DigiTrust Agent Tesla Jan 2017)(Citation: Fortinet Agent Tesla April 2018)(Citation: Malwarebytes Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1124,[Agent Tesla](https://attack.mitre.org/software/S0331) can collect the timestamp from the victim’s machine.(Citation: DigiTrust Agent Tesla Jan 2017),T1087
 S0331 , Agent Tesla ,T1552,,T1087
